episode,steps,reward,epsilon,loss,success
1,250,7.499999999999991,0.9525,0.00015134439378664254,True
2,250,7.499999999999991,0.905,0.06551612390035007,True
3,250,7.499999999999991,0.8575,0.07057956920197467,True
4,250,7.499999999999991,0.81,0.0732887664673035,True
5,250,7.499999999999991,0.7625,0.10296711120643885,True
6,250,7.499999999999991,0.7150000000000001,0.08141937817758299,True
7,250,7.499999999999991,0.6675,0.09459642343765881,True
8,250,7.499999999999991,0.62,0.06654965789869312,True
9,250,7.499999999999991,0.5725,0.08528275401754945,True
10,250,7.499999999999991,0.525,0.07062178413354558,True
11,250,7.499999999999991,0.47750000000000004,0.0866044224507059,True
12,250,7.499999999999991,0.43000000000000005,0.06443862834804168,True
13,250,7.499999999999991,0.38250000000000006,0.07956295511698408,True
14,250,7.499999999999991,0.3350000000000001,0.06228796108919778,True
15,250,7.499999999999991,0.2875000000000001,0.06954687991064566,True
16,250,7.499999999999991,0.24,0.0793412651014005,True
17,250,7.499999999999991,0.1925,0.07067113449176213,True
18,250,7.499999999999991,0.14500000000000002,0.1102721633038891,True
19,250,7.499999999999991,0.09750000000000003,0.06214259755501916,True
20,250,7.499999999999991,0.050000000000000044,0.05720446547900065,True
21,250,7.499999999999991,0.050000000000000044,0.08719515864663117,True
22,250,7.499999999999991,0.050000000000000044,0.0577876953805935,True
23,250,7.499999999999991,0.050000000000000044,0.07841648365046422,True
24,250,7.499999999999991,0.050000000000000044,0.07708614154067618,True
25,250,7.499999999999991,0.050000000000000044,0.07888014259299234,True
26,250,7.499999999999991,0.050000000000000044,0.07615758562895644,True
27,250,7.499999999999991,0.050000000000000044,0.05052974984831235,True
28,250,7.499999999999991,0.050000000000000044,0.058091442294287844,True
29,250,7.499999999999991,0.050000000000000044,0.08257797072534231,True
30,250,7.499999999999991,0.050000000000000044,0.0651534635890057,True
31,250,7.499999999999991,0.050000000000000044,0.03131635206257488,True
32,250,7.499999999999991,0.050000000000000044,0.06602204470908328,True
33,250,7.499999999999991,0.050000000000000044,0.0837864317312269,True
34,250,7.499999999999991,0.050000000000000044,0.05643942696315935,True
35,250,7.499999999999991,0.050000000000000044,0.04902537757527898,True
36,250,7.499999999999991,0.050000000000000044,0.06017279148409944,True
37,250,7.499999999999991,0.050000000000000044,0.06498866460069257,True
38,250,7.499999999999991,0.050000000000000044,0.05491746270129806,True
39,250,7.499999999999991,0.050000000000000044,0.03958613268885529,True
40,250,7.499999999999991,0.050000000000000044,0.0568328584250412,True
41,250,7.499999999999991,0.050000000000000044,0.05060955372740136,True
42,250,7.499999999999991,0.050000000000000044,0.04038967587514344,True
43,250,7.499999999999991,0.050000000000000044,0.06249398644545363,True
44,250,7.499999999999991,0.050000000000000044,0.06443358512618579,True
45,250,7.499999999999991,0.050000000000000044,0.03923190676784725,True
46,250,7.499999999999991,0.050000000000000044,0.057654164623359976,True
47,250,7.499999999999991,0.050000000000000044,0.05130815046216594,True
48,250,7.499999999999991,0.050000000000000044,0.046214878661703554,True
49,250,7.499999999999991,0.050000000000000044,0.0488671605238469,True
50,250,7.499999999999991,0.050000000000000044,0.026286129813914157,True
51,250,7.499999999999991,0.050000000000000044,0.047600142961062374,True
52,250,7.499999999999991,0.050000000000000044,0.05200835748061945,True
53,250,7.499999999999991,0.050000000000000044,0.04303395394918334,True
54,250,7.499999999999991,0.050000000000000044,0.04230375722583995,True
55,250,7.499999999999991,0.050000000000000044,0.053911147337930745,True
56,250,7.499999999999991,0.050000000000000044,0.03946118084160844,True
57,250,7.499999999999991,0.050000000000000044,0.04169560726149939,True
58,250,7.499999999999991,0.050000000000000044,0.03449710822272391,True
59,250,7.499999999999991,0.050000000000000044,0.053293568331015194,True
60,250,7.499999999999991,0.050000000000000044,0.02792985509581922,True
61,250,7.499999999999991,0.050000000000000044,0.0527381041134795,True
62,250,7.499999999999991,0.050000000000000044,0.04809921636315994,True
